Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Assigned_Machine
Булочка для гамбургера большой с кунжутом_batch_13,Расстойка,487,512,25,
Булочка для гамбургера большой с кунжутом_batch_15,Смешивание,487,497,10,mixer_0
Чиабатта_batch_1,Комбинирование,487,491,4,combiner_1
Багет новый_batch_1,Остывание,488,563,75,
Жайлы_batch_2,Выпекание,488,505,17,
Формовой_batch_22,Остывание,488,578,90,
Багет новый_batch_3,Формовка,490,501,11,former_1
Сэндвич_batch_1,Комбинирование,491,512,21,combiner_1
Чиабатта_batch_1,Смешивание,491,501,10,mixer_2
Батон Нарезной_batch_1,Остывание,494,554,60,
Булочка для гамбургера большой с кунжутом_batch_15,Формовка,497,508,11,former_0
Багет новый_batch_3,Расстойка,501,526,25,
Батон Нарезной_batch_2,Остывание,501,561,60,
Жайлы_batch_1,Смешивание,501,511,10,mixer_1
Плетенка_batch_1,Комбинирование,501,522,21,combiner_0
Чиабатта_batch_1,Формовка,501,503,2,former_1
Чиабатта_batch_1,Расстойка,503,528,25,
Жайлы_batch_2,Остывание,505,565,60,
Хлеб «Зерновой»_batch_1,Выпекание,505,530,25,
Булочка для гамбургера большой с кунжутом_batch_15,Расстойка,508,533,25,
Жайлы_batch_1,Формовка,511,522,11,former_1
Булочка для гамбургера большой с кунжутом_batch_13,Выпекание,512,534,22,
Сэндвич_batch_1,Смешивание,512,522,10,mixer_1
Сэндвич_batch_10,Комбинирование,512,533,21,combiner_1
Жайлы_batch_1,Расстойка,522,547,25,
Плетенка_batch_1,Смешивание,522,532,10,mixer_0
Семейный_batch_3,Комбинирование,522,543,21,combiner_0
Сэндвич_batch_1,Формовка,522,533,11,former_1
Багет новый_batch_3,Выпекание,526,551,25,
Чиабатта_batch_1,Выпекание,528,553,25,
Хлеб «Зерновой»_batch_1,Остывание,530,605,75,
Плетенка_batch_1,Формовка,532,543,11,former_0
Булочка для гамбургера большой с кунжутом_batch_15,Выпекание,533,555,22,
Булочка для хотдога штучно_batch_2,Комбинирование,533,554,21,combiner_1
Сэндвич_batch_1,Расстойка,533,558,25,
Сэндвич_batch_10,Смешивание,533,543,10,mixer_1
Булочка для гамбургера большой с кунжутом_batch_13,Остывание,534,579,45,
Плетенка_batch_1,Расстойка,543,568,25,
Семейный_batch_2,Комбинирование,543,564,21,combiner_0
Семейный_batch_3,Смешивание,543,553,10,mixer_0
Сэндвич_batch_10,Формовка,543,554,11,former_1
Жайлы_batch_1,Выпекание,547,564,17,
Багет новый_batch_3,Остывание,551,626,75,
Семейный_batch_3,Формовка,553,564,11,former_0
Чиабатта_batch_1,Остывание,553,628,75,
Багет новый_batch_4,Комбинирование,554,555,1,combiner_1
Булочка для хотдога штучно_batch_2,Смешивание,554,564,10,mixer_2
Сэндвич_batch_10,Расстойка,554,579,25,
Багет новый_batch_4,Смешивание,555,565,10,mixer_0
Булочка для гамбургера большой с кунжутом_batch_15,Остывание,555,600,45,
