Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Мини формовой_batch_2,Мини формовой,Формовка,264,275,11
Бородинский_batch_1,Бородинский,Комбинирование,269,290,21
Мини формовой_batch_4,Мини формовой,Смешивание,269,281,12
Бородинский_batch_2,Бородинский,Комбинирование,270,291,21
Мини формовой_batch_3,Мини формовой,Смешивание,270,282,12
Мини формовой_batch_1,Мини формовой,Расстойка,272,297,25
Мини формовой_batch_2,Мини формовой,Расстойка,275,300,25
Формовой_batch_22,Формовой,Выпекание,275,320,45
Формовой_batch_21,Формовой,Выпекание,279,324,45
Мини формовой_batch_4,Мини формовой,Формовка,281,290,9
Мини формовой_batch_3,Мини формовой,Формовка,282,293,11
Формовой_batch_17,Формовой,Остывание,282,372,90
Формовой_batch_18,Формовой,Остывание,282,372,90
Бородинский_batch_1,Бородинский,Смешивание,290,300,10
Бородинский_batch_3,Бородинский,Комбинирование,290,311,21
Мини формовой_batch_4,Мини формовой,Расстойка,290,315,25
Бородинский_batch_2,Бородинский,Смешивание,291,301,10
Бородинский_batch_4,Бородинский,Комбинирование,291,312,21
Мини формовой_batch_3,Мини формовой,Расстойка,293,318,25
Мини формовой_batch_1,Мини формовой,Выпекание,297,342,45
Бородинский_batch_1,Бородинский,Формовка,300,311,11
Мини формовой_batch_2,Мини формовой,Выпекание,300,345,45
Бородинский_batch_2,Бородинский,Формовка,301,312,11
Формовой_batch_19,Формовой,Остывание,303,393,90
Формовой_batch_20,Формовой,Остывание,303,393,90
Бородинский_batch_1,Бородинский,Расстойка,311,331,20
Бородинский_batch_3,Бородинский,Смешивание,311,321,10
Бородинский_batch_5,Бородинский,Комбинирование,311,332,21
Бородинский_batch_2,Бородинский,Расстойка,312,332,20
Бородинский_batch_4,Бородинский,Смешивание,312,322,10
Бородинский_batch_6,Бородинский,Комбинирование,312,323,11
Мини формовой_batch_4,Мини формовой,Выпекание,315,360,45
Мини формовой_batch_3,Мини формовой,Выпекание,318,363,45
Формовой_batch_22,Формовой,Остывание,320,410,90
Бородинский_batch_3,Бородинский,Формовка,321,332,11
Бородинский_batch_4,Бородинский,Формовка,322,333,11
Бородинский_batch_6,Бородинский,Смешивание,323,333,10
Домашний_batch_1,Домашний,Комбинирование,323,326,3
Формовой_batch_21,Формовой,Остывание,324,414,90
Багет луковый_batch_1,Багет луковый,Комбинирование,326,338,12
Домашний_batch_1,Домашний,Смешивание,326,336,10
Бородинский_batch_1,Бородинский,Выпекание,331,386,55
Багет новый_batch_1,Багет новый,Комбинирование,332,353,21
Бородинский_batch_2,Бородинский,Выпекание,332,387,55
Бородинский_batch_3,Бородинский,Расстойка,332,352,20
Бородинский_batch_5,Бородинский,Смешивание,332,342,10
Бородинский_batch_4,Бородинский,Расстойка,333,353,20
Бородинский_batch_6,Бородинский,Формовка,333,339,6
Багет луковый_batch_1,Багет луковый,Смешивание,338,348,10
Багет новый_batch_2,Багет новый,Комбинирование,338,359,21
Бородинский_batch_6,Бородинский,Расстойка,339,359,20
Домашний_batch_1,Домашний,Формовка,339,341,2
Домашний_batch_1,Домашний,Расстойка,341,366,25
Бородинский_batch_5,Бородинский,Формовка,342,353,11
Мини формовой_batch_1,Мини формовой,Остывание,342,432,90
Мини формовой_batch_2,Мини формовой,Остывание,345,435,90
Багет луковый_batch_1,Багет луковый,Формовка,348,355,7
Бородинский_batch_3,Бородинский,Выпекание,352,407,55
Багет новый_batch_1,Багет новый,Смешивание,353,363,10
Багет новый_batch_3,Багет новый,Комбинирование,353,374,21
Бородинский_batch_4,Бородинский,Выпекание,353,408,55
Бородинский_batch_5,Бородинский,Расстойка,353,373,20
Багет луковый_batch_1,Багет луковый,Расстойка,355,375,20
Багет новый_batch_2,Багет новый,Смешивание,359,369,10
Багет новый_batch_4,Багет новый,Комбинирование,359,360,1
Багет отрубной_batch_1,Багет отрубной,Комбинирование,360,373,13
Мини формовой_batch_4,Мини формовой,Остывание,360,450,90
Багет новый_batch_1,Багет новый,Формовка,363,374,11
Багет новый_batch_4,Багет новый,Смешивание,363,373,10
Бородинский_batch_6,Бородинский,Выпекание,363,418,55
Мини формовой_batch_3,Мини формовой,Остывание,363,453,90
Багет новый_batch_2,Багет новый,Формовка,369,380,11
Багет отрубной_batch_1,Багет отрубной,Смешивание,373,383,10
Бородинский_batch_5,Бородинский,Выпекание,373,428,55
Премиум_batch_1,Премиум,Комбинирование,373,377,4
Багет новый_batch_1,Багет новый,Расстойка,374,399,25
Багет новый_batch_3,Багет новый,Смешивание,374,384,10
Батон Верный_batch_1,Батон Верный,Комбинирование,374,385,11
Батон Нарезной_batch_1,Батон Нарезной,Комбинирование,377,398,21
Премиум_batch_1,Премиум,Смешивание,377,387,10
Багет новый_batch_2,Багет новый,Расстойка,380,405,25
Багет новый_batch_4,Багет новый,Формовка,380,381,1
Багет новый_batch_4,Багет новый,Расстойка,381,406,25
Багет отрубной_batch_1,Багет отрубной,Формовка,383,390,7
Багет новый_batch_3,Багет новый,Формовка,384,395,11
Батон Верный_batch_1,Батон Верный,Смешивание,385,395,10
Батон Нарезной_batch_2,Батон Нарезной,Комбинирование,385,406,21
Бородинский_batch_1,Бородинский,Остывание,386,506,120
Домашний_batch_1,Домашний,Выпекание,386,403,17
Багет луковый_batch_1,Багет луковый,Выпекание,387,405,18
Бородинский_batch_2,Бородинский,Остывание,387,507,120
Багет отрубной_batch_1,Багет отрубной,Расстойка,390,415,25
Премиум_batch_1,Премиум,Формовка,390,392,2
Премиум_batch_1,Премиум,Расстойка,392,417,25
Багет новый_batch_3,Багет новый,Расстойка,395,420,25
Батон Верный_batch_1,Батон Верный,Формовка,395,401,6
Батон Нарезной_batch_1,Батон Нарезной,Смешивание,398,408,10
Батон Нарезной_batch_3,Батон Нарезной,Комбинирование,398,419,21
Батон Верный_batch_1,Батон Верный,Расстойка,401,426,25
Багет новый_batch_1,Багет новый,Выпекание,403,428,25
Домашний_batch_1,Домашний,Остывание,403,463,60
Багет луковый_batch_1,Багет луковый,Остывание,405,450,45
Багет новый_batch_2,Багет новый,Выпекание,405,430,25
Батон Нарезной_batch_2,Батон Нарезной,Смешивание,406,416,10
Батон Нарезной_batch_4,Батон Нарезной,Комбинирование,406,414,8
Бородинский_batch_3,Бородинский,Остывание,407,527,120
Багет новый_batch_4,Багет новый,Выпекание,408,433,25
Батон Нарезной_batch_1,Батон Нарезной,Формовка,408,419,11
Бородинский_batch_4,Бородинский,Остывание,408,528,120
Батон Нарезной_batch_4,Батон Нарезной,Смешивание,414,424,10
Береке_batch_1,Береке,Комбинирование,414,435,21
Батон Нарезной_batch_2,Батон Нарезной,Формовка,416,427,11
Багет отрубной_batch_1,Багет отрубной,Выпекание,418,436,18
Бородинский_batch_6,Бородинский,Остывание,418,538,120
Батон Нарезной_batch_1,Батон Нарезной,Расстойка,419,444,25
Батон Нарезной_batch_3,Батон Нарезной,Смешивание,419,429,10
Береке_batch_2,Береке,Комбинирование,419,434,15
Багет новый_batch_3,Багет новый,Выпекание,420,445,25
Батон Нарезной_batch_2,Батон Нарезной,Расстойка,427,452,25
Батон Нарезной_batch_4,Батон Нарезной,Формовка,427,431,4
Багет новый_batch_1,Багет новый,Остывание,428,503,75
Батон Верный_batch_1,Батон Верный,Выпекание,428,445,17
Бородинский_batch_5,Бородинский,Остывание,428,548,120
Премиум_batch_1,Премиум,Выпекание,428,453,25
Батон Нарезной_batch_3,Батон Нарезной,Формовка,429,440,11
Багет новый_batch_2,Багет новый,Остывание,430,505,75
Батон Нарезной_batch_4,Батон Нарезной,Расстойка,431,456,25
Багет новый_batch_4,Багет новый,Остывание,433,508,75
Береке_batch_2,Береке,Смешивание,434,444,10
Жайлы_batch_1,Жайлы,Комбинирование,434,455,21
Береке_batch_1,Береке,Смешивание,435,445,10
Жайлы_batch_2,Жайлы,Комбинирование,435,449,14
Багет отрубной_batch_1,Багет отрубной,Остывание,436,481,45
Батон Нарезной_batch_3,Батон Нарезной,Расстойка,440,465,25
Батон Нарезной_batch_1,Батон Нарезной,Выпекание,444,461,17
Береке_batch_2,Береке,Формовка,444,452,8
Багет новый_batch_3,Багет новый,Остывание,445,520,75
Батон Верный_batch_1,Батон Верный,Остывание,445,505,60
Береке_batch_1,Береке,Формовка,445,456,11
Датский_batch_1,Датский,Комбинирование,449,456,7
Жайлы_batch_2,Жайлы,Смешивание,449,459,10
Батон Нарезной_batch_2,Батон Нарезной,Выпекание,452,469,17
Береке_batch_2,Береке,Расстойка,452,472,20
Премиум_batch_1,Премиум,Остывание,453,528,75
Баварский Деревенский Ржаной_batch_1,Баварский Деревенский Ржаной,Комбинирование,455,458,3
Жайлы_batch_1,Жайлы,Смешивание,455,465,10
Батон Нарезной_batch_4,Батон Нарезной,Выпекание,456,473,17
Береке_batch_1,Береке,Расстойка,456,476,20
Датский_batch_1,Датский,Смешивание,456,466,10
Диета_batch_1,Диета,Комбинирование,456,477,21
Диета_batch_2,Диета,Комбинирование,458,479,21
Баварский Деревенский Ржаной_batch_1,Баварский Деревенский Ржаной,Смешивание,459,469,10
Жайлы_batch_2,Жайлы,Формовка,459,467,8
Батон Нарезной_batch_1,Батон Нарезной,Остывание,461,521,60
Батон Нарезной_batch_3,Батон Нарезной,Выпекание,465,482,17
Жайлы_batch_1,Жайлы,Формовка,465,476,11
Датский_batch_1,Датский,Формовка,467,471,4
